Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,"Educational 
Option Type","NSLP 
Provision 
Status","Charter 
School 
(Y/N)","Charter 
School 
Number","Charter 
Funding 
Type",IRC,Low Grade,High Grade,"Enrollment 
(K-12)","Free Meal 
Count 
(K-12)","Percent (%) 
Eligible Free 
(K-12)","FRPM Count 
(K-12)","Percent (%) 
Eligible FRPM 
(K-12)","Enrollment 
(Ages 5-17)","Free Meal 
Count 
(Ages 5-17)","Percent (%) 
Eligible Free 
(Ages 5-17)","FRPM Count 
(Ages 5-17)","Percent (%) 
Eligible FRPM 
(Ages 5-17)","CALPADS Fall 1 
Certification Status"
2021-2022,9,61838,139006,El Dorado,Buckeye Union Elementary,Cottonwood,Elementary School District,K-12 Schools (Public),Traditional,N/A,Y,1964,Directly funded,Y,K,12,2419,906,37.50%,1048,43.30%,2347,883,37.60%,1020,43.50%,Y
2021-2022,9,61838,0,El Dorado,Buckeye Union Elementary,District Office,Elementary School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,K,12,33,2,6.10%,2,6.10%,32,2,6.30%,2,6.30%,Y
2021-2022,9,61838,1,El Dorado,Buckeye Union Elementary,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,2,40.00%,2,40.00%,5,2,40.00%,2,40.00%,Y
2021-2022,9,61838,100024,El Dorado,Buckeye Union Elementary,Oak Meadow Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,515,67,13.00%,78,15.10%,505,66,13.10%,77,15.20%,Y
2021-2022,9,61838,129965,El Dorado,Buckeye Union Elementary,Rising Sun Montessori,Elementary School District,Elementary Schools (Public),Traditional,N/A,Y,1655,Directly funded,Y,K,8,138,35,25.40%,41,29.70%,133,34,25.60%,40,30.10%,Y
2021-2022,9,61838,6112361,El Dorado,Buckeye Union Elementary,Rolling Hills Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,N,N/A,N/A,N,6,8,841,69,8.20%,81,9.60%,841,69,8.20%,81,9.60%,Y
2021-2022,9,61838,6110456,El Dorado,Buckeye Union Elementary,Silva Valley Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,459,41,8.90%,45,9.80%,450,40,8.90%,44,9.80%,Y
2021-2022,9,61838,6005474,El Dorado,Buckeye Union Elementary,William Brooks Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,386,32,8.30%,39,10.10%,386,32,8.30%,39,10.10%,Y
2021-2022,9,61846,6005482,El Dorado,Camino Union Elementary,Camino Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,8,412,169,41.00%,189,45.90%,408,167,40.90%,186,45.60%,Y
2021-2022,9,61846,123125,El Dorado,Camino Union Elementary,Camino Polytechnic,Elementary School District,Elementary Schools (Public),Traditional,N/A,Y,1150,Directly funded,N,K,8,34,5,14.70%,5,14.70%,34,5,14.70%,5,14.70%,Y
2021-2022,9,61853,932756,El Dorado,El Dorado Union High,El Dorado High,High School District,High Schools (Public),Traditional,N/A,N,N/A,N/A,N,9,12,1214,372,30.60%,372,30.60%,1171,359,30.70%,359,30.70%,Y
2021-2022,9,61853,934554,El Dorado,El Dorado Union High,Independence Continuation,High School District,Continuation High Schools,Continuation School,N/A,N,N/A,N/A,N,9,12,105,48,45.70%,48,45.70%,90,40,44.40%,40,44.40%,Y
2021-2022,9,61853,1,El Dorado,El Dorado Union High,"Nonpublic, Nonsectarian Schools",High School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29,10,34.50%,10,34.50%,21,7,33.30%,7,33.30%,Y
2021-2022,9,61853,930081,El Dorado,El Dorado Union High,Oak Ridge High,High School District,High Schools (Public),Traditional,N/A,N,N/A,N/A,N,8,12,2537,174,6.90%,174,6.90%,2459,169,6.90%,169,6.90%,Y
2021-2022,9,61853,930214,El Dorado,El Dorado Union High,Pacific Crest Academy,High School District,High Schools (Public),Traditional,N/A,Y,366,Locally funded,N,9,12,110,18,16.40%,18,16.40%,105,17,16.20%,17,16.20%,Y
2021-2022,9,61853,936302,El Dorado,El Dorado Union High,Ponderosa High,High School District,High Schools (Public),Traditional,N/A,N,N/A,N/A,N,9,12,1778,281,15.80%,281,15.80%,1724,263,15.30%,263,15.30%,Y
2021-2022,9,61853,930164,El Dorado,El Dorado Union High,Union Mine High,High School District,High Schools (Public),Traditional,N/A,N,N/A,N/A,N,9,12,1125,376,33.40%,376,33.40%,1061,351,33.10%,351,33.10%,Y
2021-2022,9,61879,6005508,El Dorado,Gold Oak Union Elementary,Gold Oak Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,282,104,36.90%,111,39.40%,270,100,37.00%,106,39.30%,Y
2021-2022,9,61879,1,El Dorado,Gold Oak Union Elementary,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,100.00%,1,100.00%,1,1,100.00%,1,100.00%,Y
2021-2022,9,61879,6109698,El Dorado,Gold Oak Union Elementary,Pleasant Valley Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,N,N/A,N/A,N,6,8,149,56,37.60%,56,37.60%,149,56,37.60%,56,37.60%,Y
2021-2022,9,61887,6005516,El Dorado,Gold Trail Union Elementary,Gold Trail,Elementary School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,4,8,305,63,20.70%,63,20.70%,305,63,20.70%,63,20.70%,Y
2021-2022,9,61887,6110167,El Dorado,Gold Trail Union Elementary,Sutters Mill,Elementary School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,3,241,61,25.30%,61,25.30%,234,60,25.60%,60,25.60%,Y
2021-2022,9,61895,6005524,El Dorado,Indian Diggings Elementary,Indian Diggings Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,N/A,N,N/A,N/A,N,K,8,18,12,66.70%,12,66.70%,18,12,66.70%,12,66.70%,Y
2021-2022,9,61903,6005540,El Dorado,Lake Tahoe Unified,Bijou Community,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,396,166,41.90%,175,44.20%,396,166,41.90%,175,44.20%,Y
2021-2022,9,61903,140459,El Dorado,Lake Tahoe Unified,Elevated Digital Learning Academy,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,N,N/A,N/A,N,K,12,84,38,45.20%,38,45.20%,84,38,45.20%,38,45.20%,Y
2021-2022,9,61903,110155,El Dorado,Lake Tahoe Unified,Lake Tahoe Environmental Science Magnet,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,361,66,18.30%,68,18.80%,361,66,18.30%,68,18.80%,Y
2021-2022,9,61903,930040,El Dorado,Lake Tahoe Unified,Mt. Tallac High,Unified School District,Continuation High Schools,Continuation School,N/A,N,N/A,N/A,N,9,12,68,46,67.60%,47,69.10%,59,39,66.10%,40,67.80%,Y
2021-2022,9,61903,6095301,El Dorado,Lake Tahoe Unified,Sierra House Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,384,167,43.50%,169,44.00%,384,167,43.50%,169,44.00%,Y
2021-2022,9,61903,937805,El Dorado,Lake Tahoe Unified,South Tahoe High,Unified School District,High Schools (Public),Traditional,N/A,N,N/A,N/A,N,9,12,1156,418,36.20%,433,37.50%,1124,405,36.00%,420,37.40%,Y
2021-2022,9,61903,6005565,El Dorado,Lake Tahoe Unified,South Tahoe Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,N,N/A,N/A,N,6,8,790,355,44.90%,364,46.10%,790,355,44.90%,364,46.10%,Y
2021-2022,9,61903,6005573,El Dorado,Lake Tahoe Unified,Tahoe Valley Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,402,218,54.20%,225,56.00%,343,202,58.90%,209,60.90%,Y
2021-2022,9,61911,6005581,El Dorado,Latrobe,Latrobe Elementary,Elementary School District,Elementary Schools (Public),Traditional,Not Participating,N,N/A,N/A,N,K,3,61,8,13.10%,8,13.10%,58,7,12.10%,7,12.10%,Y
2021-2022,9,61911,6103857,El Dorado,Latrobe,Miller's Hill,Elementary School District,Elementary Schools (Public),Traditional,Not Participating,N,N/A,N/A,N,4,8,99,13,13.10%,13,13.10%,99,13,13.10%,13,13.10%,Y
2021-2022,9,61929,6005615,El Dorado,Mother Lode Union Elementary,Herbert C. Green Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,N,N/A,N/A,N,5,8,388,157,40.50%,164,42.30%,388,157,40.50%,164,42.30%,Y
2021-2022,9,61929,6106678,El Dorado,Mother Lode Union Elementary,Indian Creek Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,4,485,218,44.90%,249,51.30%,456,207,45.40%,234,51.30%,Y
2021-2022,9,61929,1,El Dorado,Mother Lode Union Elementary,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,0,0.00%,0,0.00%,3,0,0.00%,0,0.00%,Y
2021-2022,9,61945,6112569,El Dorado,Pioneer Union Elementary,Mountain Creek Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,N,N/A,N/A,N,6,8,87,50,57.50%,50,57.50%,87,50,57.50%,50,57.50%,Y
2021-2022,9,61945,6005631,El Dorado,Pioneer Union Elementary,Pioneer Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,168,79,47.00%,79,47.00%,164,76,46.30%,76,46.30%,Y
2021-2022,9,61945,6114664,El Dorado,Pioneer Union Elementary,Walt Tyler Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,4,30,19,63.30%,19,63.30%,29,18,62.10%,18,62.10%,Y
2021-2022,9,61952,6005649,El Dorado,Placerville Union Elementary,Edwin Markham Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,N,N/A,N/A,N,6,8,400,183,45.80%,230,57.50%,400,183,45.80%,230,57.50%,Y
2021-2022,9,61952,6005656,El Dorado,Placerville Union Elementary,Louisiana Schnell Elementary,Elementary School District,Elementary Schools (Public),Traditional,CEP,N,N/A,N/A,N,K,5,371,232,62.50%,261,70.40%,363,229,63.10%,257,70.80%,Y
2021-2022,9,61952,1,El Dorado,Placerville Union Elementary,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,100.00%,1,100.00%,1,1,100.00%,1,100.00%,Y
2021-2022,9,61952,6005664,El Dorado,Placerville Union Elementary,Sierra Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,399,151,37.80%,172,43.10%,392,148,37.80%,168,42.90%,Y
2021-2022,9,61960,6005680,El Dorado,Pollock Pines Elementary,Pinewood Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,P,4,310,121,39.00%,121,39.00%,303,118,38.90%,118,38.90%,Y
2021-2022,9,61960,6107437,El Dorado,Pollock Pines Elementary,Sierra Ridge Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,N,N/A,N/A,N,5,8,292,122,41.80%,122,41.80%,292,122,41.80%,122,41.80%,Y
2021-2022,9,61978,6098693,El Dorado,Rescue Union Elementary,Green Valley Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,349,126,36.10%,130,37.20%,340,120,35.30%,124,36.50%,Y
2021-2022,9,61978,6005706,El Dorado,Rescue Union Elementary,Jackson Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,482,31,6.40%,34,7.10%,470,30,6.40%,33,7.00%,Y
2021-2022,9,61978,6109441,El Dorado,Rescue Union Elementary,Lake Forest Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,452,50,11.10%,50,11.10%,445,50,11.20%,50,11.20%,Y
2021-2022,9,61978,108258,El Dorado,Rescue Union Elementary,Lakeview Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,546,45,8.20%,45,8.20%,535,44,8.20%,44,8.20%,Y
2021-2022,9,61978,6103527,El Dorado,Rescue Union Elementary,Marina Village Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,N,N/A,N/A,N,6,8,745,50,6.70%,55,7.40%,745,50,6.70%,55,7.40%,Y
2021-2022,9,61978,1,El Dorado,Rescue Union Elementary,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,3,50.00%,3,50.00%,6,3,50.00%,3,50.00%,Y
2021-2022,9,61978,101519,El Dorado,Rescue Union Elementary,Pleasant Grove Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,N,N/A,N/A,N,6,8,480,105,21.90%,113,23.50%,480,105,21.90%,113,23.50%,Y
2021-2022,9,61978,6005714,El Dorado,Rescue Union Elementary,Rescue Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,509,83,16.30%,92,18.10%,496,81,16.30%,89,17.90%,Y
2021-2022,9,61986,6005722,El Dorado,Silver Fork Elementary,Silver Fork Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,N/A,N,N/A,N/A,N,K,8,16,9,56.30%,9,56.30%,16,9,56.30%,9,56.30%,Y
2021-2022,9,73783,121566,El Dorado,Black Oak Mine Unified,American River Charter,Unified School District,K-12 Schools (Public),Traditional,N/A,Y,1176,Locally funded,N,K,12,252,90,35.70%,91,36.10%,239,87,36.40%,88,36.80%,Y
2021-2022,9,73783,930099,El Dorado,Black Oak Mine Unified,Divide High,Unified School District,Continuation High Schools,Continuation School,N/A,N,N/A,N/A,N,9,12,12,5,41.70%,6,50.00%,12,5,41.70%,6,50.00%,Y
2021-2022,9,73783,6005490,El Dorado,Black Oak Mine Unified,Georgetown Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,6,277,129,46.60%,153,55.20%,267,126,47.20%,150,56.20%,Y
2021-2022,9,73783,930073,El Dorado,Black Oak Mine Unified,Golden Sierra Junior Senior High,Unified School District,High Schools (Public),Traditional,N/A,N,N/A,N/A,N,7,12,493,179,36.30%,201,40.80%,487,175,35.90%,197,40.50%,Y
2021-2022,9,73783,1,El Dorado,Black Oak Mine Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,2,40.00%,2,40.00%,4,2,50.00%,2,50.00%,Y
2021-2022,9,73783,6005623,El Dorado,Black Oak Mine Unified,Northside Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,6,255,76,29.80%,94,36.90%,242,72,29.80%,88,36.40%,Y
2021-2022,9,73783,6110498,El Dorado,Black Oak Mine Unified,Otter Creek Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,N,N/A,N/A,N,K,5,17,9,52.90%,10,58.80%,17,9,52.90%,10,58.80%,Y
2021-2022,10,10108,1030337,Fresno,Fresno County Office of Education,Alice M. Worsley,County Office of Education (COE),Juvenile Court Schools,Juvenile Court School,N/A,N,N/A,N/A,N,K,12,120,120,100.00%,120,100.00%,103,103,100.00%,103,100.00%,Y
2021-2022,10,10108,119628,Fresno,Fresno County Office of Education,Big Picture Educational Academy,County Office of Education (COE),K-12 Schools (Public),Traditional,N/A,Y,1085,Directly funded,Y,K,12,555,278,50.10%,283,51.00%,283,224,79.20%,229,80.90%,Y
2021-2022,10,10108,136291,Fresno,Fresno County Office of Education,Career Technical Education Charter,County Office of Education (COE),High Schools (Public),Traditional,Not Participating,Y,1850,Directly funded,Y,9,12,248,107,43.10%,122,49.20%,244,105,43.00%,120,49.20%,Y
2021-2022,10,10108,140186,Fresno,Fresno County Office of Education,Clovis Global Academy,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Y,2101,Directly funded,Y,K,8,141,81,57.40%,92,65.20%,127,71,55.90%,82,64.60%,Y
2021-2022,10,10108,109991,Fresno,Fresno County Office of Education,Crescent View West Public Charter,County Office of Education (COE),K-12 Schools (Public),Traditional,N/A,Y,746,Directly funded,Y,K,12,1444,1256,87.00%,1306,90.40%,977,825,84.40%,865,88.50%,Y
2021-2022,10,10108,6085112,Fresno,Fresno County Office of Education,Edison-Bethune Charter Academy,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Y,195,Directly funded,Y,K,6,456,425,93.20%,438,96.10%,449,418,93.10%,431,96.00%,Y
2021-2022,10,10108,6069488,Fresno,Fresno County Office of Education,Fresno County Special Education,County Office of Education (COE),Special Education Schools (Public),Special Education School,N/A,N,N/A,N/A,N,P,12,585,381,65.10%,446,76.20%,484,321,66.30%,377,77.90%,Y
2021-2022,10,10108,111682,Fresno,Fresno County Office of Education,Hume Lake Charter,County Office of Education (COE),K-12 Schools (Public),Traditional,N/A,Y,787,Directly funded,Y,K,12,63,14,22.20%,33,52.40%,60,14,23.30%,33,55.00%,Y
2021-2022,10,10108,127514,Fresno,Fresno County Office of Education,Kepler Neighborhood,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Y,1503,Directly funded,Y,K,8,371,268,72.20%,283,76.30%,368,265,72.00%,280,76.10%,Y
2021-2022,10,10108,1030899,Fresno,Fresno County Office of Education,Violet Heintz Education Academy,County Office of Education (COE),County Community,County Community School,N/A,N,N/A,N/A,N,7,12,40,40,100.00%,40,100.00%,37,37,100.00%,37,100.00%,Y
2021-2022,10,61994,6005730,Fresno,Alvina Elementary,Alvina Elementary Charter,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,N/A,Y,00D5,Locally funded,N,K,8,178,127,71.30%,138,77.50%,177,127,71.80%,138,78.00%,Y
2021-2022,10,62026,6005763,Fresno,Big Creek Elementary,Big Creek Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,N/A,N,N/A,N/A,N,K,8,34,31,91.20%,31,91.20%,34,31,91.20%,31,91.20%,Y
2021-2022,10,62042,6005797,Fresno,Burrel Union Elementary,Burrel Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,Provision 2,N,N/A,N/A,N,K,8,124,105,84.70%,113,91.10%,124,105,84.70%,113,91.10%,Y
2021-2022,10,62109,6005839,Fresno,Clay Joint Elementary,Clay Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,Not Participating,N,N/A,N/A,N,K,8,250,54,21.60%,56,22.40%,250,54,21.60%,56,22.40%,Y
2021-2022,10,62117,6109912,Fresno,Clovis Unified,Alta Sierra Intermediate,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,N,N/A,N/A,N,7,8,1304,344,26.40%,514,39.40%,1304,344,26.40%,514,39.40%,Y
2021-2022,10,62117,1030501,Fresno,Clovis Unified,Buchanan High,Unified School District,High Schools (Public),Traditional,N/A,N,N/A,N/A,N,9,12,2685,672,25.00%,986,36.70%,2599,650,25.00%,957,36.80%,Y
2021-2022,10,62117,113563,Fresno,Clovis Unified,Bud Rank Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,6,677,87,12.90%,142,21.00%,667,83,12.40%,138,20.70%,Y
2021-2022,10,62117,6113575,Fresno,Clovis Unified,Cedarwood Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,6,762,151,19.80%,255,33.50%,756,149,19.70%,253,33.50%,Y
2021-2022,10,62117,6117550,Fresno,Clovis Unified,Century Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,6,628,180,28.70%,255,40.60%,614,175,28.50%,249,40.60%,Y
2021-2022,10,62117,6066617,Fresno,Clovis Unified,Clark Intermediate,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,N,N/A,N/A,N,7,8,1495,591,39.50%,905,60.50%,1495,591,39.50%,905,60.50%,Y
2021-2022,10,62117,101949,Fresno,Clovis Unified,Clovis Community Day Elementary,Unified School District,District Community Day Schools,Community Day School,N/A,N,N/A,N/A,N,4,6,2,1,50.00%,2,100.00%,2,1,50.00%,2,100.00%,Y
2021-2022,10,62117,110270,Fresno,Clovis Unified,Clovis Community Day Secondary,Unified School District,District Community Day Schools,Community Day School,CEP,N,N/A,N/A,N,7,12,41,33,80.50%,35,85.40%,39,31,79.50%,33,84.60%,Y
2021-2022,10,62117,1030683,Fresno,Clovis Unified,Clovis East High,Unified School District,High Schools (Public),Traditional,N/A,N,N/A,N/A,N,9,12,2733,925,33.80%,1492,54.60%,2670,899,33.70%,1451,54.30%,Y
2021-2022,10,62117,6116313,Fresno,Clovis Unified,Clovis Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N,N/A,N/A,N,K,6,651,307,47.20%,446,68.50%,644,302,46.90%,440,68.30%,Y
2021-2022,10,62117,1031053,Fresno,Clovis Unified,Clovis High,Unified School District,High Schools (Public),Traditional,N/A,N,N/A,N/A,N,9,12,2928,948,32.40%,1502,51.30%,2709,887,32.70%,1395,51.50%,Y
2021-2022,10,62117,113555,Fresno,Clovis Unified,Clovis North High,Unified School District,High Schools (Public),Traditional,N/A,N,N/A,N/A,N,9,12,2442,378,15.50%,650,26.60%,2361,366,15.50%,627,26.60%,Y
2021-2022,10,62117,118018,Fresno,Clovis Unified,Clovis Online Charter,Unified School District,K-12 Schools (Public),Traditional,N/A,Y,1006,Locally funded,N,K,12,745,261,35.00%,364,48.90%,705,247,35.00%,349,49.50%,Y
2021-2022,10,62117,1030196,Fresno,Clovis Unified,Clovis West High,Unified School District,High Schools (Public),Traditional,N/A,N,N/A,N/A,N,9,12,2096,623,29.70%,967,46.10%,2030,600,29.60%,933,46.00%,Y
2021-2022,10,62117,6005847,Fresno,Clovis Unified,Cole Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N,N/A,N/A,N,K,6,669,268,40.10%,421,62.90%,659,261,39.60%,414,62.80%,Y
2021-2022,10,62117,6113583,Fresno,Clovis Unified,Copper Hills Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,6,593,154,26.00%,198,33.40%,589,153,26.00%,197,33.40%,Y
2021-2022,10,62117,0,Fresno,Clovis Unified,District Office,Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,K,Adult,24,8,33.30%,13,54.20%,0,0,0.00%,0,0.00%,Y
2021-2022,10,62117,6005854,Fresno,Clovis Unified,Dry Creek Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,6,921,133,14.40%,188,20.40%,907,128,14.10%,183,20.20%,Y
2021-2022,10,62117,1030469,Fresno,Clovis Unified,Enterprise Alternative,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,N,N/A,N/A,N,K,12,474,207,43.70%,283,59.70%,464,201,43.30%,274,59.10%,Y
2021-2022,10,62117,6108088,Fresno,Clovis Unified,Fancher Creek Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,N,N/A,N/A,N,K,6,680,344,50.60%,529,77.80%,664,338,50.90%,518,78.00%,Y
2021-2022,10,62117,6005862,Fresno,Clovis Unified,Fort Washington Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,6,575,148,25.70%,245,42.60%,570,147,25.80%,243,42.60%,Y
2021-2022,10,62117,6120091,Fresno,Clovis Unified,Freedom Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,6,712,180,25.30%,287,40.30%,702,177,25.20%,282,40.20%,Y
2021-2022,10,62117,6110258,Fresno,Clovis Unified,Garfield Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,6,595,120,20.20%,179,30.10%,588,116,19.70%,175,29.80%,Y
2021-2022,10,62117,1031004,Fresno,Clovis Unified,Gateway High (Continuation),Unified School District,Continuation High Schools,Continuation School,CEP,N,N/A,N/A,N,9,12,213,132,62.00%,162,76.10%,184,115,62.50%,142,77.20%,Y
2021-2022,10,62117,6106660,Fresno,Clovis Unified,Gettysburg Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,6,663,258,38.90%,356,53.70%,655,252,38.50%,348,53.10%,Y
2021-2022,10,62117,113548,Fresno,Clovis Unified,Granite Ridge Intermediate,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,N,N/A,N/A,N,7,8,1122,211,18.80%,334,29.80%,1122,211,18.80%,334,29.80%,Y
2021-2022,10,62117,106419,Fresno,Clovis Unified,James S. Fugman Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,6,794,79,9.90%,101,12.70%,783,77,9.80%,98,12.50%,Y
2021-2022,10,62117,139766,Fresno,Clovis Unified,Janet L. Young Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,6,639,147,23.00%,252,39.40%,622,145,23.30%,248,39.90%,Y
2021-2022,10,62117,6005870,Fresno,Clovis Unified,Jefferson Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N,N/A,N/A,N,K,6,610,325,53.30%,464,76.10%,598,318,53.20%,453,75.80%,Y
2021-2022,10,62117,6101190,Fresno,Clovis Unified,Kastner Intermediate,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,N,N/A,N/A,N,7,8,1141,410,35.90%,599,52.50%,1141,410,35.90%,599,52.50%,Y
2021-2022,10,62117,6109920,Fresno,Clovis Unified,Liberty Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,6,611,160,26.20%,244,39.90%,605,158,26.10%,241,39.80%,Y
2021-2022,10,62117,6100408,Fresno,Clovis Unified,Lincoln Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N,N/A,N/A,N,K,6,679,290,42.70%,436,64.20%,670,286,42.70%,431,64.30%,Y
2021-2022,10,62117,6112742,Fresno,Clovis Unified,Maple Creek Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,6,521,163,31.30%,229,44.00%,515,160,31.10%,225,43.70%,Y
2021-2022,10,62117,6101984,Fresno,Clovis Unified,Mickey Cox Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N,N/A,N/A,N,K,6,623,259,41.60%,369,59.20%,617,255,41.30%,364,59.00%,Y
2021-2022,10,62117,6097026,Fresno,Clovis Unified,Miramonte Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,N,N/A,N/A,N,K,6,558,330,59.10%,468,83.90%,550,326,59.30%,463,84.20%,Y
2021-2022,10,62117,6104624,Fresno,Clovis Unified,Mountain View Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N,N/A,N/A,N,K,6,567,228,40.20%,346,61.00%,559,224,40.10%,342,61.20%,Y
2021-2022,10,62117,6005888,Fresno,Clovis Unified,Nelson Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,N,N/A,N/A,N,K,6,475,242,50.90%,347,73.10%,470,239,50.90%,344,73.20%,Y
2021-2022,10,62117,1,Fresno,Clovis Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23,11,47.80%,12,52.20%,21,11,52.40%,12,57.10%,Y
